Laptop,Status,Brand,Model,CUP,RAM,Storage,Storage_Type,GPU,Screen,Touch,Price
"ASUS ExpertBook B1 B1502CBA-EJ0436X Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i5,8,512,SSD,,15.6,No,1009
"Alurin Go Start Intel Celeron N4020/8GB/256GB SSD/15.6""",New,Alurin,Go,Intel Celeron,8,256,SSD,,15.6,No,299
"ASUS ExpertBook B1 B1502CBA-EJ0424X Intel Core i3-1215U/8GB/256GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i3,8,256,SSD,,15.6,No,789
"MSI Katana GF66 12UC-082XES Intel Core i7-12700H/16GB/1TB SSD/RTX3050/15.6""",New,MSI,Katana,Intel Core i7,16,1000,SSD,RTX 3050,15.6,No,1199
"HP 15S-FQ5085NS Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,HP,15S,Intel Core i5,16,512,SSD,,15.6,No,669.01
"MSI Crosshair 17 C12VF-264XES Intel Core i7-12650H/32GB/1TB SSD/RTX 4060/17.3""",New,MSI,Crosshair,Intel Core i7,32,1000,SSD,RTX 4060,17.3,No,1699
"Lenovo Thinkpad E14 Gen 4 AMD Ryzen 5 5625U/8GB/256GB SSD/14""",New,Lenovo,ThinkPad,AMD Ryzen 5,8,256,SSD,,14,No,909
"ASUS VivoBook 15 F515JA-EJ2882W Intel Core i7-1065G7/8GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i7,8,512,SSD,,15.6,No,809.01
"Medion Akoya E15415 Intel Core i5-10210U/8GB/256GB SSD/15.6""",New,Medion,Akoya,Intel Core i5,8,256,SSD,,15.6,No,519
"HP Victus 16-d1038ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3050/16.1""",New,HP,Victus,Intel Core i7,16,512,SSD,RTX 3050,16.1,No,1149
"Lenovo V15 IGL Intel Celeron N4020/8GB/256 GB SSD/15.6""",New,Lenovo,V15,Intel Celeron,8,256,SSD,,15.6,No,349
"MSI Thin GF63 12VE-021XES Intel Core i7-12650H/16GB/1TB SSD/RTX 4050/15.6""",New,MSI,Thin,Intel Core i7,16,1000,SSD,RTX 4050,15.6,No,1399
"ASUS ROG Strix G15 G513RC-HN088 AMD Ryzen 7 6800H/16GB/512GB SSD/RTX 3050/15.6""",New,Asus,ROG,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,1199
"Lenovo V15 G3 ABA AMD Ryzen 5 5625U/16GB/512GB SSD/15.6""",New,Lenovo,V15,AMD Ryzen 5,16,512,SSD,,15.6,No,476.99
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U/8GB/256GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,,15.6,No,391
"HP 15S-FQ5013NS Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,HP,15S,Intel Core i5,8,512,SSD,,15.6,No,699
"Lenovo IdeaPad 3 15IAU7 Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,,15.6,No,799
"HP 15S-FQ2163NS Intel Core i3-1115G4/8GB/512GB SSD/15.6""",New,HP,15S,Intel Core i3,8,512,SSD,,15.6,No,549
"ASUS VivoBook 15 F515JA-EJ4134 Intel Core i7-1065G7/8GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i7,8,512,SSD,,15.6,No,769
"MSI GF63 Thin 11UC-446XES Intel Core i7-11800H/16GB/512GB SSD/RTX 3050/15.6""",New,MSI,Thin,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,999
"MSI Cyborg 15 A12VF-098XES Intel Core i5-12450H/16GB/1TB SSD/RTX 4060/15.6""",New,MSI,Cyborg,Intel Core i5,16,1000,SSD,RTX 4060,15.6,No,1249
"ASUS M515UA-EJ486W AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",New,Asus,M515UA,AMD Ryzen 7,16,512,SSD,,15.6,No,789
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,,15.6,No,729
"ASUS TUF Gaming F15 FX506HC-HN004 Intel Core i5-11400H/16GB/512GB SSD/RTX 3050/15.6""",New,Asus,TUF,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1099
"Acer Aspire 3 A315-59-37GX Intel Core i3-1215U/8GB/256GB SSD/15.6""",New,Acer,Aspire,Intel Core i3,8,256,SSD,,15.6,No,539.01
"ASUS TUF Gaming F15 FX507ZC4-HN002 Intel Core i7-12700H/16GB/512GB SSD/RTX 3050/15.6""",New,Asus,TUF,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,1179
"Alurin Go Start Intel Celeron N4020/8GB/256GB SSD/14""",New,Alurin,Go,Intel Celeron,8,256,SSD,,14,No,239
"HP Victus 15-fa0012ns Intel Core i5-12500H/16GB/512GB SSD/RTX 3050/15.6""",New,HP,Victus,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,999
"HP Pavilion 15-eh1004ns AMD Ryzen 5 5500U/16GB/512GB SSD/15.6""",New,HP,Pavilion,AMD Ryzen 5,16,512,SSD,,15.6,No,799
